"Libellé Sortie";"Code Enquète";"Observateurs";"Num Enquéte";"Heure Début";"Enquete Hors Panier";"Panier Complet";"Pecheur Sensibilisé";"Pecheur enqueté";"Constitution Groupe";"Nb adultes";"Nb enfants";"Nb tous petits";"Nb pecheurs groupe";"Nb Pecheurs Sensibilises";"Nb Reglettes";"Nb Depliants";"Observations";"Annuaire de marée";"Etat Sanitaire";"Source d'information";"Equipé Téléphone portable";"Connaissance Numéro Secours";"Numéro Secours";"Critéres choix site"
"Arcouest_01/03/2014_Christelle Barth_1";;"Christelle Barth";"1.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;0;;3;;0;;;"Oui";"Oui";"Médias (journaux, radios, tv)";;;;"Proximité"
"Arcouest_01/03/2014_Dominique Rault_1";;"Dominique Rault";"1.0";"14:00";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;3;;5;;0;;"fait découvrir le coin aux enfants";"Oui";"Non";"Aucune";;;;"Recommandation"
"Arcouest_01/03/2014_Dominique Rault_2";;"Dominique Rault";"2.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Oui";"Oui";"Capitainerie / Club Nautique / Préfecture / Affaires maritimes / Mairies ";;;;"Improvisé ou par hasard (non choix)"
"Arcouest_01/03/2014_Franck Delisle_1";;"Franck Delisle";"1.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Oui";"Non";"Aucune";;;;"Qualité gisement"
"Arcouest_01/03/2014_Franck Delisle_2";;"Franck Delisle";"2.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;0;;3;;0;;;"Oui";"Oui";"Capitainerie / Club Nautique / Préfecture / Affaires maritimes / Mairies ";;;;"Fidélité"
"Arcouest_01/03/2014_Franck Delisle_3";;"Franck Delisle";"3.0";"14:00";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;0;;2;;0;;;"Oui";"Non";"Aucune";;;;"Proximité"
"Arcouest_02/04/2014_Franck Delisle_1";;"Franck Delisle";"1.0";"15:11";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;0;;;"Oui";"NC";"";;;;"Fidélité"
"Arcouest_02/04/2014_Michel Laloi_1";;"Michel Laloi";"1.0";"15:15";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;0;;;"Oui";"Oui";"Internet / Applications mobiles";;;;"Proximité"
"Arcouest_02/04/2014_Olivier Massard_1";;"Olivier Massard";"1.0";"16:00";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Oui";"Non";"Aucune";;;;"Proximité | Fidélité"
"Arcouest_02/04/2014_Olivier Massard_2";;"Olivier Massard";"2.0";"15:30";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;0;;;"Oui";"Non";"Aucune";;;;"Proximité | Fidélité"
